num_detectors,detectors_generated,recall,precision,f1
50,50,0.5256410256410257,0.8913043478260869,0.6612903225806452
100,100,0.6538461538461539,0.8947368421052632,0.7555555555555555
200,200,0.7564102564102564,0.8368794326241135,0.7946127946127945
500,500,0.8589743589743589,0.8271604938271605,0.8427672955974842
1000,568,0.8717948717948718,0.8047337278106509,0.8369230769230768
1500,568,0.8717948717948718,0.8047337278106509,0.8369230769230768
2000,568,0.8717948717948718,0.8047337278106509,0.8369230769230768
