run_name,map,episode,return,success,epsilon,alpha,gamma,seed,timestamp
8x8_ref,8x8,59,0.0,0,0.971409419374317,0.8,0.99,42,2025-11-20T17:55:01.944762
8x8_ref,8x8,60,0.0,0,0.97092371466463,0.8,0.99,42,2025-11-20T17:55:01.944765
8x8_ref,8x8,61,0.0,0,0.9704382528072977,0.8,0.99,42,2025-11-20T17:55:01.944767
8x8_ref,8x8,62,0.0,0,0.9699530336808941,0.8,0.99,42,2025-11-20T17:55:01.944770
8x8_ref,8x8,63,0.0,0,0.9694680571640537,0.8,0.99,42,2025-11-20T17:55:01.944772
8x8_ref,8x8,64,0.0,0,0.9689833231354718,0.8,0.99,42,2025-11-20T17:55:01.944774
8x8_ref,8x8,65,0.0,0,0.968498831473904,0.8,0.99,42,2025-11-20T17:55:01.944777
8x8_ref,8x8,66,0.0,0,0.9680145820581672,0.8,0.99,42,2025-11-20T17:55:01.944780
8x8_ref,8x8,67,0.0,0,0.9675305747671381,0.8,0.99,42,2025-11-20T17:55:01.944782
8x8_ref,8x8,68,0.0,0,0.9670468094797546,0.8,0.99,42,2025-11-20T17:55:01.944784
8x8_ref,8x8,69,0.0,0,0.9665632860750147,0.8,0.99,42,2025-11-20T17:55:01.944787
8x8_ref,8x8,70,0.0,0,0.9660800044319773,0.8,0.99,42,2025-11-20T17:55:01.944789
8x8_ref,8x8,71,0.0,0,0.9655969644297614,0.8,0.99,42,2025-11-20T17:55:01.944792
8x8_ref,8x8,72,0.0,0,0.9651141659475466,0.8,0.99,42,2025-11-20T17:55:01.944794
8x8_ref,8x8,73,0.0,0,0.9646316088645729,0.8,0.99,42,2025-11-20T17:55:01.944796
8x8_ref,8x8,74,0.0,0,0.9641492930601406,0.8,0.99,42,2025-11-20T17:55:01.944799
8x8_ref,8x8,75,0.0,0,0.9636672184136106,0.8,0.99,42,2025-11-20T17:55:01.944801
8x8_ref,8x8,76,0.0,0,0.9631853848044039,0.8,0.99,42,2025-11-20T17:55:01.944804
8x8_ref,8x8,77,0.0,0,0.9627037921120017,0.8,0.99,42,2025-11-20T17:55:01.944809
8x8_ref,8x8,78,0.0,0,0.9622224402159457,0.8,0.99,42,2025-11-20T17:55:01.944812
8x8_ref,8x8,79,0.0,0,0.9617413289958379,0.8,0.99,42,2025-11-20T17:55:01.944814
8x8_ref,8x8,80,0.0,0,0.96126045833134,0.8,0.99,42,2025-11-20T17:55:01.944816
8x8_ref,8x8,81,0.0,0,0.9607798281021743,0.8,0.99,42,2025-11-20T17:55:01.944819
8x8_ref,8x8,82,0.0,0,0.9602994381881234,0.8,0.99,42,2025-11-20T17:55:01.944821
8x8_ref,8x8,83,0.0,0,0.9598192884690293,0.8,0.99,42,2025-11-20T17:55:01.944824
8x8_ref,8x8,84,0.0,0,0.9593393788247948,0.8,0.99,42,2025-11-20T17:55:01.944826
8x8_ref,8x8,85,0.0,0,0.9588597091353825,0.8,0.99,42,2025-11-20T17:55:01.944828
8x8_ref,8x8,86,0.0,0,0.9583802792808148,0.8,0.99,42,2025-11-20T17:55:01.944831
8x8_ref,8x8,87,0.0,0,0.9579010891411746,0.8,0.99,42,2025-11-20T17:55:01.944833
8x8_ref,8x8,88,0.0,0,0.957422138596604,0.8,0.99,42,2025-11-20T17:55:01.944836
8x8_ref,8x8,89,0.0,0,0.9569434275273058,0.8,0.99,42,2025-11-20T17:55:01.944838
8x8_ref,8x8,90,0.0,0,0.9564649558135421,0.8,0.99,42,2025-11-20T17:55:01.944841
8x8_ref,8x8,91,0.0,0,0.9559867233356354,0.8,0.99,42,2025-11-20T17:55:01.944843
8x8_ref,8x8,92,0.0,0,0.9555087299739676,0.8,0.99,42,2025-11-20T17:55:01.944845
8x8_ref,8x8,93,0.0,0,0.9550309756089808,0.8,0.99,42,2025-11-20T17:55:01.944848
8x8_ref,8x8,94,0.0,0,0.9545534601211763,0.8,0.99,42,2025-11-20T17:55:01.944850
8x8_ref,8x8,95,0.0,0,0.9540761833911158,0.8,0.99,42,2025-11-20T17:55:01.944853
8x8_ref,8x8,96,0.0,0,0.9535991452994202,0.8,0.99,42,2025-11-20T17:55:01.944855
8x8_ref,8x8,97,0.0,0,0.9531223457267706,0.8,0.99,42,2025-11-20T17:55:01.944858
8x8_ref,8x8,98,0.0,0,0.9526457845539072,0.8,0.99,42,2025-11-20T17:55:01.944860
8x8_ref,8x8,99,0.0,0,0.9521694616616303,0.8,0.99,42,2025-11-20T17:55:01.944862
