detector_set,num_detectors,r_contiguous,ngram,min_activations,max_ham_match_ratio,precision,recall,f1,fpr,tp,fp,fn,tn,roc_auc,pr_auc
3k_r8_n3,3000,8,3,100,0.05,0.520618556701031,0.6474358974358975,0.5771428571428572,0.0969760166840458,101,93,55,866,0.8685897435897436,0.3002610966057441
2k_r9_n3,2000,9,3,1,0.05,0.319290465631929,0.9230769230769232,0.4744645799011531,0.3201251303441084,144,307,12,652,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,2,0.05,0.3280182232346241,0.9230769230769232,0.4840336134453782,0.3076120959332638,144,295,12,664,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,3,0.05,0.3396226415094339,0.9230769230769232,0.496551724137931,0.291970802919708,144,280,12,679,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,5,0.05,0.355,0.9102564102564102,0.5107913669064748,0.2690302398331595,142,258,14,701,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,7,0.05,0.374331550802139,0.8974358974358975,0.5283018867924528,0.2440041710114703,140,234,16,725,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,10,0.05,0.39067055393586,0.8589743589743589,0.5370741482965932,0.2179353493222106,134,209,22,750,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,15,0.05,0.43,0.8269230769230769,0.5657894736842105,0.1783107403545359,129,171,27,788,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,20,0.05,0.4646840148698885,0.8012820512820513,0.5882352941176471,0.1501564129301355,125,144,31,815,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,30,0.05,0.5043859649122807,0.7371794871794872,0.5989583333333334,0.1178310740354535,115,113,41,846,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,40,0.05,0.5056179775280899,0.5769230769230769,0.5389221556886228,0.0917622523461939,90,88,66,871,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,50,0.05,0.4755244755244755,0.4358974358974359,0.4548494983277592,0.0782064650677789,68,75,88,884,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,60,0.05,0.4807692307692308,0.3205128205128205,0.3846153846153846,0.0563086548488008,50,54,106,905,0.8685897435897436,0.2994791666666667
2k_r9_n3,2000,9,3,80,0.05,0.4,0.1538461538461538,0.2222222222222222,0.0375391032325338,24,36,132,923,0.8685897435897436,0.2994791666666667
1k_r7_n5,1000,7,5,1,0.05,0.3226544622425629,0.903846153846154,0.475548060708263,0.3086548488008342,141,296,15,663,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,2,0.05,0.3365853658536585,0.8846153846153846,0.4876325088339223,0.2836287799791449,138,272,18,687,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,3,0.05,0.3580901856763925,0.8653846153846154,0.5065666041275798,0.2523461939520334,135,242,21,717,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,5,0.05,0.394578313253012,0.8397435897435898,0.5368852459016393,0.2095933263816475,131,201,25,758,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,7,0.05,0.4189189189189189,0.7948717948717948,0.5486725663716814,0.1793534932221063,124,172,32,787,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,10,0.05,0.4516129032258064,0.717948717948718,0.5544554455445545,0.1418143899895724,112,136,44,823,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,15,0.05,0.4947916666666667,0.6089743589743589,0.5459770114942529,0.1011470281543274,95,97,61,862,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,20,0.05,0.4726027397260274,0.4423076923076923,0.4569536423841059,0.0802919708029197,69,77,87,882,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,25,0.05,0.4732142857142857,0.3397435897435897,0.3955223880597015,0.0615224191866527,53,59,103,900,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,30,0.05,0.410958904109589,0.1923076923076923,0.2620087336244542,0.0448383733055265,30,43,126,916,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,40,0.05,0.1333333333333333,0.0256410256410256,0.043010752688172,0.02711157455683,4,26,152,933,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,50,0.05,0.0588235294117647,0.0064102564102564,0.0115606936416184,0.0166840458811261,1,16,155,943,0.858974358974359,0.27722772277227725
1k_r7_n5,1000,7,5,60,0.05,0.0,0.0,0.0,0.0104275286757038,0,10,156,949,0.858974358974359,0.27722772277227725
2k_r7_n5,2000,7,5,1,0.05,0.3161434977578475,0.903846153846154,0.4684385382059801,0.3180396246089677,141,305,15,654,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,2,0.05,0.3241379310344827,0.903846153846154,0.4771573604060914,0.3065693430656934,141,294,15,665,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,3,0.05,0.327906976744186,0.903846153846154,0.4812286689419794,0.3013555787278415,141,289,15,670,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,5,0.05,0.3540051679586563,0.8782051282051282,0.5046040515653776,0.2606882168925964,137,250,19,709,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,7,0.05,0.3678474114441417,0.8653846153846154,0.5162523900573613,0.2419186652763295,135,232,21,727,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,10,0.05,0.3852941176470588,0.8397435897435898,0.5282258064516129,0.2179353493222106,131,209,25,750,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,15,0.05,0.4169491525423728,0.7884615384615384,0.5454545454545455,0.1793534932221063,123,172,33,787,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,20,0.05,0.4513618677042801,0.7435897435897436,0.5617433414043584,0.1470281543274244,116,141,40,818,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,25,0.05,0.4782608695652174,0.7051282051282052,0.5699481865284974,0.1251303441084463,110,120,46,839,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,30,0.05,0.4875621890547263,0.6282051282051282,0.5490196078431372,0.1074035453597497,98,103,58,856,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,40,0.05,0.475,0.4871794871794871,0.4810126582278481,0.0875912408759124,76,84,80,875,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,50,0.05,0.4878048780487805,0.3846153846153846,0.4301075268817205,0.0656934306569343,60,63,96,896,0.8525641025641026,0.2849740932642487
2k_r7_n5,2000,7,5,60,0.05,0.4382022471910112,0.25,0.3183673469387755,0.0521376433785192,39,50,117,909,0.8525641025641026,0.2849740932642487
2k_r8_n5,2000,8,5,1,0.05,0.2876712328767123,0.9423076923076924,0.4407796101949024,0.3795620437956204,147,364,9,595,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,2,0.05,0.2951807228915662,0.9423076923076924,0.4495412844036697,0.3660062565172054,147,351,9,608,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,3,0.05,0.3016528925619834,0.935897435897436,0.45625,0.3524504692387904,146,338,10,621,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,5,0.05,0.319910514541387,0.9166666666666666,0.4742951907131011,0.3169968717413973,143,304,13,655,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,7,0.05,0.3309523809523809,0.8910256410256411,0.4826388888888888,0.2930135557872784,139,281,17,678,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,10,0.05,0.3479381443298969,0.8653846153846154,0.4963235294117646,0.2638164754953076,135,253,21,706,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,15,0.05,0.3676880222841225,0.8461538461538461,0.5126213592233011,0.2367049009384775,132,227,24,732,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,20,0.05,0.400611620795107,0.8397435897435898,0.5424430641821946,0.2043795620437956,131,196,25,763,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,25,0.05,0.4115755627009646,0.8205128205128205,0.5481798715203425,0.1908237747653806,128,183,28,776,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,30,0.05,0.4295532646048109,0.8012820512820513,0.5592841163310962,0.173096976016684,125,166,31,793,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,40,0.05,0.4724409448818897,0.7692307692307693,0.5853658536585367,0.1397288842544317,120,134,36,825,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,50,0.05,0.4910714285714285,0.7051282051282052,0.5789473684210527,0.1188738269030239,110,114,46,845,0.8846153846153846,0.29268292682926833
2k_r8_n5,2000,8,5,60,0.05,0.481283422459893,0.5769230769230769,0.5247813411078718,0.1011470281543274,90,97,66,862,0.8846153846153846,0.29268292682926833
3k_r8_n5,3000,8,5,1,0.05,0.2865497076023391,0.9423076923076924,0.4394618834080717,0.3816475495307612,147,366,9,593,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,3,0.05,0.2993890020366598,0.9423076923076924,0.4544049459041731,0.3587069864442127,147,344,9,615,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,5,0.05,0.3054393305439331,0.935897435897436,0.4605678233438486,0.3461939520333681,146,332,10,627,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,10,0.05,0.3286713286713286,0.903846153846154,0.482051282051282,0.3003128258602711,141,288,15,671,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,15,0.05,0.3532467532467532,0.8717948717948718,0.5027726432532347,0.2596454640250261,136,249,20,710,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,20,0.05,0.3626373626373626,0.8461538461538461,0.5076923076923077,0.2419186652763295,132,232,24,727,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,30,0.05,0.3957703927492447,0.8397435897435898,0.5379876796714579,0.2085505735140771,131,200,25,759,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,40,0.05,0.4229508196721311,0.8269230769230769,0.559652928416486,0.1835245046923879,129,176,27,783,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,50,0.05,0.4392857142857143,0.7884615384615384,0.5642201834862385,0.1637122002085505,123,157,33,802,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,60,0.05,0.4669260700389105,0.7692307692307693,0.5811138014527845,0.1428571428571428,120,137,36,822,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,80,0.05,0.4883720930232558,0.6730769230769231,0.5660377358490566,0.1147028154327424,105,110,51,849,0.8846153846153846,0.29055690072639223
3k_r8_n5,3000,8,5,100,0.05,0.4736842105263157,0.5192307692307693,0.4954128440366972,0.0938477580813347,81,90,75,869,0.8846153846153846,0.29055690072639223
2k_r9_n5,2000,9,5,1,0.05,0.3063829787234042,0.9230769230769232,0.4600638977635782,0.3399374348279457,144,326,12,633,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,2,0.05,0.3085339168490153,0.903846153846154,0.4600326264274061,0.3295099061522419,141,316,15,643,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,3,0.05,0.3241379310344827,0.903846153846154,0.4771573604060914,0.3065693430656934,141,294,15,665,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,5,0.05,0.3433583959899749,0.8782051282051282,0.4936936936936936,0.2732012513034411,137,262,19,697,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,7,0.05,0.3563829787234042,0.8589743589743589,0.5037593984962406,0.2523461939520334,134,242,22,717,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,10,0.05,0.3810888252148997,0.8525641025641025,0.5267326732673268,0.2252346193952033,133,216,23,743,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,15,0.05,0.4119496855345912,0.8397435897435898,0.5527426160337552,0.1949947862356621,131,187,25,772,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,20,0.05,0.4409722222222222,0.8141025641025641,0.5720720720720721,0.1678832116788321,127,161,29,798,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,30,0.05,0.4836065573770491,0.7564102564102564,0.59,0.1313868613138686,118,126,38,833,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,40,0.05,0.4702970297029702,0.6089743589743589,0.53072625698324,0.1115745568300312,95,107,61,852,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,50,0.05,0.4629629629629629,0.4807692307692308,0.4716981132075472,0.0907194994786235,75,87,81,872,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,60,0.05,0.4761904761904761,0.3846153846153846,0.4255319148936169,0.0688216892596454,60,66,96,893,0.8782051282051282,0.295
2k_r9_n5,2000,9,5,80,0.05,0.328125,0.1346153846153846,0.1909090909090909,0.0448383733055265,21,43,135,916,0.8782051282051282,0.295
1k_r6_n4,1000,6,4,1,0.05,0.3926701570680628,0.4807692307692308,0.4322766570605187,0.1209593326381647,75,116,81,843,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,2,0.05,0.3926701570680628,0.4807692307692308,0.4322766570605187,0.1209593326381647,75,116,81,843,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,3,0.05,0.3926701570680628,0.4807692307692308,0.4322766570605187,0.1209593326381647,75,116,81,843,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,5,0.05,0.3934426229508196,0.4615384615384615,0.4247787610619469,0.1157455683003128,72,111,84,848,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,7,0.05,0.4184397163120567,0.3782051282051282,0.3973063973063973,0.0855057351407716,59,82,97,877,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,10,0.05,0.423728813559322,0.1602564102564102,0.2325581395348837,0.0354535974973931,25,34,131,925,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,15,0.05,0.4081632653061224,0.1282051282051282,0.1951219512195121,0.0302398331595411,20,29,136,930,0.7403846153846154,0.21613832853025935
1k_r6_n4,1000,6,4,20,0.05,0.25,0.0128205128205128,0.024390243902439,0.0062565172054223,2,6,154,953,0.7403846153846154,0.21613832853025935
1k_r7_n4,1000,7,4,1,0.05,0.2798434442270058,0.9166666666666666,0.4287856071964018,0.3837330552659019,143,368,13,591,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,2,0.05,0.2960662525879917,0.9166666666666666,0.4475743348982786,0.3545359749739312,143,340,13,619,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,3,0.05,0.3112582781456953,0.903846153846154,0.4630541871921182,0.3253388946819603,141,312,15,647,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,5,0.05,0.345679012345679,0.8974358974358975,0.499108734402852,0.2763295099061522,140,265,16,694,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,7,0.05,0.3801652892561983,0.8846153846153846,0.5317919075144508,0.2346193952033368,138,225,18,734,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,10,0.05,0.4011976047904191,0.8589743589743589,0.5469387755102041,0.2085505735140771,134,200,22,759,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,15,0.05,0.4483985765124555,0.8076923076923077,0.5766590389016019,0.1616266944734098,126,155,30,804,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,20,0.05,0.4647302904564315,0.717948717948718,0.5642317380352645,0.1345151199165797,112,129,44,830,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,25,0.05,0.4807692307692308,0.6410256410256411,0.5494505494505495,0.1126173096976016,100,108,56,851,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,30,0.05,0.4863387978142076,0.5705128205128205,0.5250737463126843,0.0980187695516162,89,94,67,865,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,40,0.05,0.4634146341463415,0.3653846153846153,0.4086021505376344,0.0688216892596454,57,66,99,893,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,50,0.05,0.3766233766233766,0.1858974358974359,0.2489270386266094,0.0500521376433785,29,48,127,911,0.9038461538461539,0.28832951945080093
1k_r7_n4,1000,7,4,60,0.05,0.3157894736842105,0.1153846153846153,0.1690140845070422,0.040667361835245,18,39,138,920,0.9038461538461539,0.28832951945080093
2k_r7_n4,2000,7,4,1,0.05,0.275,0.9166666666666666,0.4230769230769231,0.3931178310740355,143,377,13,582,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,2,0.05,0.2798434442270058,0.9166666666666666,0.4287856071964018,0.3837330552659019,143,368,13,591,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,3,0.05,0.2854291417165668,0.9166666666666666,0.4353120243531201,0.3733055265901981,143,358,13,601,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,5,0.05,0.3081896551724138,0.9166666666666666,0.4612903225806452,0.3347236704900938,143,321,13,638,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,7,0.05,0.3219954648526077,0.9102564102564102,0.4757118927973199,0.3117831074035453,142,299,14,660,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,10,0.05,0.345679012345679,0.8974358974358975,0.499108734402852,0.2763295099061522,140,265,16,694,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,15,0.05,0.3777173913043478,0.8910256410256411,0.5305343511450382,0.2387904066736183,139,229,17,730,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,20,0.05,0.3994082840236686,0.8653846153846154,0.5465587044534412,0.2116788321167883,135,203,21,756,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,25,0.05,0.4212218649517685,0.8397435897435898,0.5610278372591007,0.1876955161626694,131,180,25,779,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,30,0.05,0.4394463667820069,0.8141025641025641,0.5707865168539326,0.1689259645464025,127,162,29,797,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,40,0.05,0.4556451612903225,0.7243589743589743,0.5594059405940593,0.140771637122002,113,135,43,824,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,50,0.05,0.4748858447488584,0.6666666666666666,0.5546666666666668,0.1199165797705943,104,115,52,844,0.907051282051282,0.2853932584269663
2k_r7_n4,2000,7,4,60,0.05,0.4742268041237113,0.5897435897435898,0.5257142857142857,0.1063607924921793,92,102,64,857,0.907051282051282,0.2853932584269663
3k_r7_n4,3000,7,4,1,0.05,0.2739463601532567,0.9166666666666666,0.4218289085545722,0.3952033368091762,143,379,13,580,0.8974358974358974,0.2883720930232558
3k_r7_n4,3000,7,4,3,0.05,0.2771317829457364,0.9166666666666666,0.4255952380952381,0.3889468196037539,143,373,13,586,0.8974358974358974,0.2883720930232558
3k_r7_n4,3000,7,4,5,0.05,0.2877263581488933,0.9166666666666666,0.4379785604900459,0.3691345151199166,143,354,13,605,0.8974358974358974,0.2883720930232558
3k_r7_n4,3000,7,4,10,0.05,0.3213483146067415,0.9166666666666666,0.4758735440931779,0.3149113660062565,143,302,13,657,0.8974358974358974,0.2883720930232558
3k_r7_n4,3000,7,4,15,0.05,0.3526448362720403,0.8974358974358975,0.5063291139240506,0.2679874869655891,140,257,16,702,0.8974358974358974,0.2883720930232558
