func,n,run,best_f,best_x_json,evals,success,time_s
sphere,10,7,9.576307907336604e-09,"[4.734800685175604e-06, -8.948157694807251e-06, 6.3165438518575865e-06, -5.6270352440188635e-06, -1.898165863076317e-05, -4.39656052676031e-05, -2.5654035936358797e-05, -2.6433618431183592e-05, 5.997448949922864e-05, 4.6423860750730944e-05]",6420,1,0.014264106750488281
sphere,10,8,7.81647403367854e-09,"[-3.869452403554281e-05, 1.4793143422681638e-05, 5.555312462685185e-06, 2.995667799720905e-05, 4.155109620724964e-05, -6.591202635587697e-06, -1.802505374527699e-05, 7.693212110163867e-06, 1.0097474804600227e-05, -5.4001130331703715e-05]",6510,1,0.014544010162353516
sphere,10,9,9.214298288059459e-09,"[-2.7260891096793626e-06, 2.3684679769839856e-05, 1.2072163238621087e-05, -2.297693738771039e-05, -1.598788786865542e-05, 6.147068467070137e-05, -1.2272457244474231e-05, -4.231558434711673e-05, -4.171719142349182e-05, 1.601319191610004e-05]",6810,1,0.015137672424316406
sphere,10,10,8.849905490414172e-09,"[-1.0050486305686745e-05, 4.372430513982808e-05, -3.9655939940276287e-05, 4.199681721213141e-05, -2.2400292080067285e-05, 1.319591173163145e-05, -1.8707546921711677e-05, -1.7826165132987788e-05, -1.381089364558216e-05, -4.434367707812574e-05]",6840,1,0.015250205993652344
sphere,10,11,8.77103992277095e-09,"[1.927397749497909e-05, -2.670030519403026e-05, 2.811099409479075e-05, -2.294746980908192e-05, 2.535556732037237e-05, -2.7289092607702596e-05, 3.479044537522964e-05, 1.2688148158107484e-05, 6.0002359648249176e-05, 3.2536642830927162e-06]",6930,1,0.015331029891967773
sphere,10,12,9.262341968774485e-09,"[4.8990195392798434e-06, -7.765493627931768e-06, 1.898419011560167e-05, 1.0875849816436182e-05, 3.7140606492446596e-05, 1.3703282514798115e-05, 8.029649770034404e-05, 9.381864722278337e-06, -2.393560277335143e-05, 4.8672877897771905e-06]",6900,1,0.015445947647094727
sphere,10,13,6.647986363449218e-09,"[-3.953320389072097e-05, 1.4163287217679253e-05, 1.7355831042151313e-05, -2.2693168176152174e-05, -2.3849366929907636e-05, 3.9839868875154255e-05, 4.482321913594755e-06, 4.598550436487535e-06, -1.1916264431919574e-05, 4.15820394753107e-05]",6570,1,0.014515876770019531
sphere,10,14,9.362478783282941e-09,"[-1.3835067828905086e-05, -1.636396074534971e-05, 3.559143187826949e-05, 6.241997666108505e-05, -1.5435307031844224e-05, 3.7598881476256246e-05, 2.8246686969801815e-05, 3.588218369559406e-05, 1.0910509220454027e-06, -1.3287383412853838e-06]",7410,1,0.016489028930664062
sphere,10,15,9.632157235012944e-09,"[-4.521185702611754e-05, -5.026869285972436e-05, 2.6292544661262792e-05, 2.3758045502268103e-05, 4.8829810847065214e-05, 4.712477593284371e-06, -3.550130417617086e-06, 4.057482963705885e-06, -3.662309803126576e-05, 5.337165049656652e-06]",6690,1,0.014795064926147461
sphere,10,16,5.910257718205206e-09,"[2.4408776522178658e-05, 2.4213871634836584e-05, -4.743413755130396e-06, 2.2721758063955373e-05, 2.8581063387803754e-05, 4.027120524756433e-05, 1.9645991118231153e-05, -6.699878984332617e-06, -2.7067955791882682e-05, 2.423230841531978e-05]",6630,1,0.015001058578491211
sphere,10,17,8.570897388171544e-09,"[-9.60303843484588e-06, -2.8344058642937543e-05, 3.947382114463839e-05, -5.411254760695426e-05, 3.416872841948347e-05, 1.9048759333732798e-05, 1.595358987357088e-05, 3.738478437379647e-05, -2.514905068287193e-06, -3.4914520130542625e-07]",6840,1,0.015416145324707031
sphere,10,18,8.376299652589706e-09,"[-4.0699808855345086e-05, -1.720009725473623e-05, 5.5208087162068366e-06, 3.861755058936469e-05, -4.069717816913838e-05, 2.592959626489081e-05, 4.50021716962213e-05, 8.644257009760208e-06, -1.2626290517523721e-05, 1.7726849734284326e-05]",6660,1,0.014764070510864258
sphere,10,19,9.872689871744255e-09,"[-3.60610457011193e-05, -9.099585096611908e-06, 4.596861364346432e-05, -2.8068782847150243e-05, -5.039437953432931e-05, -9.851233384534938e-06, -1.7342168010057813e-06, -3.1666891633229263e-05, 3.371713437122745e-05, -2.8447028373019927e-05]",7050,1,0.015759944915771484
sphere,10,20,9.267715879097653e-09,"[1.0695592319744927e-05, 5.246546790843038e-05, -1.5102271110711482e-05, -1.520496547341067e-05, 4.9497269987951576e-05, -2.3043602323118996e-06, 2.3541740111187164e-05, 3.2859249617906475e-05, 1.5460233384126713e-05, 4.016432312240831e-05]",6810,1,0.01505279541015625
sphere,10,21,6.585715406415605e-09,"[-8.324673991200346e-06, -6.239309726252423e-06, -4.300133509380763e-05, -3.640452877484284e-05, 4.309261175651342e-05, 5.118463844714619e-06, 1.434069244880803e-05, -5.322012860623737e-06, 6.226011568612309e-06, -3.3869858685086805e-05]",6750,1,0.014900922775268555
sphere,10,22,7.783092776704704e-09,"[-1.473175927333521e-05, 3.069296080759566e-05, -3.672816838624548e-05, 6.348304177439718e-06, 1.334554331414365e-05, 2.3476609644965888e-05, -4.292569727205045e-06, -4.7607954995861023e-05, 4.201583565160236e-05, -2.133593628875485e-05]",7170,1,0.015974044799804688
sphere,10,23,8.155063678961328e-09,"[-5.943315189079227e-06, 2.3050590528381597e-05, 1.8270447254173905e-05, -3.68547987957853e-05, -3.214957792291134e-05, -4.877316109705471e-05, -2.3471130713518927e-06, -2.977464432943472e-05, -3.280107888335769e-05, -2.2714747588850735e-05]",6660,1,0.014745950698852539
sphere,10,24,8.071551153128823e-09,"[3.6568421652945774e-05, -6.593381154002143e-05, -1.85989571808869e-06, -1.4141868109227169e-05, -2.259101971741162e-05, 5.227814232997577e-06, -1.3861025892310477e-05, -1.9627397139572754e-05, -3.2678128267616703e-05, -8.218900056287633e-07]",6630,1,0.014772891998291016
sphere,10,25,8.926426076765829e-09,"[1.2174146135273322e-05, -1.2339723684076232e-05, -5.342566387537728e-05, -4.133793007502462e-05, 3.625723309642443e-05, 1.8015985984480188e-05, -1.4245802681370905e-05, 2.1836380215245714e-05, 8.42361185464251e-08, 4.175980418015187e-05]",6780,1,0.015021800994873047
sphere,10,26,6.2945838779382866e-09,"[-4.087350143491589e-05, -2.6645643248969023e-05, 1.7126752877040298e-05, 7.728166293350761e-06, -2.0270587294725785e-06, -1.3082238971260441e-05, 3.1661308337767835e-05, 3.271297116965725e-05, -2.970230144175654e-05, -2.075674957528499e-05]",6780,1,0.014969110488891602
sphere,10,27,8.918816684012231e-09,"[-1.1144931533678655e-05, -2.8463443201346427e-05, 1.0541782267253998e-05, 2.8831676253975285e-05, -3.3563214174338736e-05, -8.453387167006268e-06, 1.1378751137005363e-05, -5.412996441002662e-05, -1.5925863268054325e-05, -5.030838510280458e-05]",6900,1,0.015383720397949219
sphere,10,28,7.857977358849587e-09,"[2.03709027884277e-05, 2.8138677735557326e-05, -4.175660502465436e-05, 1.0699464382147144e-05, 3.146265391171445e-05, 1.5005548300633193e-05, 6.67467468382726e-06, -8.954486185653649e-06, -5.7630087467209076e-05, 1.1493464884251849e-05]",7410,1,0.01644420623779297
