func,n,mean,median,min,max,std,success_rate
ackley,2,6.601469916640567e-05,6.657744738136628e-05,6.660010378300996e-06,9.8720840736366e-05,2.7160275809665946e-05,1.0
ackley,10,0.054961557096944086,9.306311780798993e-05,6.64026339234347e-05,1.6462236331034077,0.30054142560994285,0.9666666666666667
ackley,30,1.732802965942587,1.774809348309255,0.0025580596595138,3.518414737660194,1.0560853984490703,0.0
rastrigin,2,4.581659700058083e-05,4.8353394738853694e-05,3.449833798185864e-06,9.817815853807588e-05,2.6990608825063116e-05,1.0
rastrigin,10,9.760218981712525,9.949585605156805,3.9798362294879297,19.89914079387526,4.119876873045303,0.0
rastrigin,30,79.88155559374913,79.13548233657026,35.818929553852456,128.3490680216752,23.056697806715224,0.0
rosenbrock,2,5.484407024924374e-09,4.6809787940857386e-09,1.6039675004357902e-09,9.506833786513672e-09,2.4841837378199735e-09,1.0
rosenbrock,10,13.737808414015602,3.9549744733371694,0.9267265873269752,304.2936677466481,54.890243258902764,0.0
rosenbrock,30,199.98664876344998,76.22140474475913,19.057963167035265,2570.872436049038,490.72987401177284,0.0
sphere,2,4.4154566347681805e-09,4.08389102571427e-09,1.219802770824851e-10,9.322586710710216e-09,2.7219906173977836e-09,1.0
sphere,10,7.997087995496114e-09,8.04291223583348e-09,4.054244725373991e-09,9.929212641402041e-09,1.4063549712339715e-09,1.0
sphere,30,7.568539679463731e-06,1.6739742670604198e-06,1.1881094110015765e-07,0.0001100622790676,2.044406119826302e-05,0.0
