func,n,run,best_f,best_x_json,evals,success,time_s
sphere,10,7,9.534251337660276e-09,"[4.510338653304659e-05, 4.055237745731426e-05, -4.445368120869962e-05, -3.2700658162605015e-06, 1.2702566900056467e-05, -2.414729470116046e-05, -1.3328660416286211e-05, -4.64878450577335e-05, -2.7581073843626193e-05, -4.968081301250329e-06]",4350,1,0.004851341247558594
sphere,10,8,6.165946721821599e-09,"[4.040372203366202e-05, 3.1757070563832673e-06, 9.208230554944823e-06, 3.668766617637724e-06, 4.1951745178895456e-05, -3.996071609934909e-05, -1.6468966644687303e-06, -1.2632483721009495e-05, -1.6145210215588852e-05, -2.540436995231686e-05]",4860,1,0.005366086959838867
sphere,10,9,9.390465709826341e-09,"[-2.8767607673512032e-05, -4.789939468517834e-06, 2.159494475288192e-05, -5.7194802662688554e-05, 1.2893038507913379e-05, 1.8836210569405795e-05, -2.2025050130787715e-05, 3.7765121388575056e-05, 4.239838660812507e-05, 2.392480226965664e-05]",5070,1,0.006018877029418945
sphere,10,10,8.138861829974272e-09,"[1.9727075405196165e-05, 2.3203778550713486e-05, 5.288220793272486e-05, -9.496496058278193e-06, 8.144529259346515e-06, -1.0509557997707024e-05, -3.6234512625636254e-05, 1.4369246310211021e-05, -5.023542915878225e-05, 1.0236209259541752e-05]",4470,1,0.0051610469818115234
sphere,10,11,8.912426469983944e-09,"[-1.204670516561275e-05, 5.710337910873133e-05, 2.6966868185671933e-05, -2.2913589933297276e-05, 1.3416836200756138e-05, -9.513733784824713e-06, -2.472938090957117e-05, -4.618743986087397e-05, -2.134223645761156e-05, 2.7989771584902046e-05]",4710,1,0.005413055419921875
sphere,10,12,8.25114988235744e-09,"[-1.4751294082946063e-05, 8.304994426387176e-06, -2.0767971991317267e-05, 8.189434673903436e-06, -1.4983604657238228e-05, 1.2921511475621893e-05, 3.5451088500655545e-05, -3.0344217376353496e-05, -1.0182227470426642e-05, 6.923509185550368e-05]",4710,1,0.005461931228637695
sphere,10,13,7.883688897511705e-09,"[2.6721292471655242e-05, -2.3198875920058874e-05, 4.5413532929955375e-05, -1.3330620196458224e-05, 2.4558828275912718e-05, -2.6466731379655813e-05, -4.2747278416494106e-05, 1.663619657016154e-05, 3.135193147628769e-05, 8.478221267062516e-07]",4290,1,0.004881858825683594
sphere,10,14,9.92921264140204e-09,"[3.785183341727298e-05, -8.077420686799087e-07, 3.918403803922792e-05, 3.545414518662577e-05, 6.070342265427881e-05, -3.847515323769302e-06, -1.408071355190045e-06, 5.123895698412972e-06, -3.3253797844695355e-05, -2.9489874768359144e-05]",4560,1,0.005156040191650391
sphere,10,15,8.339610020946144e-09,"[-6.436799548964452e-06, -2.6956353284503774e-05, 3.535006615534598e-05, 1.8408870341913286e-05, -1.7526525065736774e-05, 5.237982937334949e-05, 3.7334741351623216e-05, -3.362115644428639e-05, 6.1971034487301e-06, 1.9223012146949105e-05]",4770,1,0.005300998687744141
sphere,10,16,7.946962641692687e-09,"[4.790568253061832e-05, 4.330375974188402e-06, 2.5582304661111914e-05, 2.109124913390832e-05, 8.571626453447354e-06, 2.288439666746688e-05, 3.035035119012774e-05, -1.048408747529429e-05, -4.389295537702726e-05, 3.129123095873839e-05]",4470,1,0.004967927932739258
