func,n,mean,median,min,max,std,success_rate
ackley,2,6.324552423804992e-05,6.542514630369922e-05,3.0103863086772265e-06,9.486945691294936e-05,2.3456149295800732e-05,1.0
ackley,10,9.424823835001585e-05,9.451761556755756e-05,8.129386665745031e-05,0.0001324571254852,8.74899474820671e-06,0.9666666666666667
ackley,30,0.7840963178054348,0.7555004023975855,0.3656840311648541,1.6390496931674297,0.38596788774618684,0.0
rastrigin,2,5.6373570164088466e-05,6.082998622503055e-05,1.6395332892216175e-05,9.24227616607709e-05,2.5007639992305333e-05,1.0
rastrigin,10,7.467690909691502,6.9771595936073965,1.9899192173729008,13.929429469860525,2.9331062407175392,0.0
rastrigin,30,75.33479669900045,73.47397808487514,52.99688783104881,98.37672004569242,13.063508144904345,0.0
rosenbrock,2,2.821829718379065e-07,6.818187501232314e-09,7.632479174730347e-11,5.0494738879612676e-06,9.576663713173289e-07,0.6
rosenbrock,10,4.543796401825841,5.59831039997042,0.0004532094034361,9.33818329414365,2.178339141781703,0.0
rosenbrock,30,92.78869646967081,93.5100403338867,34.10980966061008,190.950837560487,34.76043233189715,0.0
sphere,2,5.0601630693194486e-09,6.070871001989299e-09,8.545235330774909e-11,9.68937413500244e-09,3.2521667535718446e-09,1.0
sphere,10,8.324175091435007e-09,8.733230330980526e-09,5.200205003906659e-09,9.872689871744257e-09,1.2744094813851465e-09,1.0
sphere,30,0.0020607905015370366,0.00209413298735745,0.0004027216919708,0.0037612977744106,0.0007957499035028307,0.0
