instance,seed,n_bins,total_unused_capacity,runtime,iterations_to_best
u500_02,1,210,1284,2885.2985,157
u500_02,2,210,1284,2892.6669,100
u500_02,3,210,1284,2908.6024,134
u500_02,4,210,1284,2932.0242,128
