instance,seed,n_bins,total_unused_capacity,runtime,iterations_to_best
u500_00,1,207,1413,2939.4207,72
u500_00,2,207,1413,2938.1446,86
u500_00,3,206,1263,2943.6824,156
u500_00,4,207,1413,2938.3036,66
