func,n,run,best_f,best_x_json,evals,success,time_s
sphere,10,21,5.9053224935529535e-09,"[3.788403717287721e-05, 2.4374503600341513e-05, 7.403218343801007e-07, 5.509396639557418e-06, -4.930524577986954e-06, 2.2311023273141725e-05, 2.4835929663817257e-05, -4.6050242071805114e-05, 1.806529373844322e-05, 1.609998137950957e-05]",6000,1,0.006639003753662109
sphere,10,22,8.318270692068239e-09,"[2.201648239078392e-05, 2.6514644524144983e-05, 4.075971669644746e-06, -4.5459776714399056e-05, 9.391893917202364e-06, -3.239959789399982e-05, 3.3418400009050905e-06, 1.98451076071069e-05, -3.8864359127088635e-05, 4.465353021939615e-05]",4980,1,0.00556492805480957
sphere,10,23,7.590197407905204e-09,"[-6.1151250031639e-06, -7.710670746038624e-05, 1.1604006433634488e-05, 8.225731811841167e-06, 4.273086277229221e-06, 1.042540969050988e-05, -9.215744421880917e-06, -1.4362224874559318e-05, 1.052398600373994e-05, 2.9599603477339988e-05]",5160,1,0.0057070255279541016
sphere,10,24,8.279757022659131e-09,"[-5.344194432673223e-05, -2.5755215567781277e-07, 3.753576355846843e-05, -2.943302633391812e-06, 2.8899691027576553e-05, 2.1927498305635716e-06, -1.2103284585550613e-05, -3.135719025485409e-05, -3.41053723419908e-05, 2.9548487363706326e-05]",5340,1,0.005941152572631836
sphere,10,25,7.615252510012605e-09,"[3.888131253714549e-05, 4.696370405377383e-05, -2.9473696020951358e-06, -1.721695983462215e-05, -1.109891945097708e-05, 2.9396627310607893e-05, 3.803426456694144e-05, 1.4334488766138201e-05, -1.249001827717781e-06, -3.0851341758735244e-05]",5460,1,0.006042003631591797
sphere,10,26,9.171028160049561e-09,"[-3.226894177332685e-05, -6.071539961176291e-06, -9.710640920715409e-06, 7.303566891956406e-05, 1.4133932940354888e-05, -7.935120527412233e-06, 8.834103973184385e-06, -3.599305031146412e-05, 2.3459478649710423e-05, -2.1857540514978984e-05]",5640,1,0.006234169006347656
sphere,10,27,8.470071025758704e-09,"[2.8887826170985245e-06, 6.514080373117625e-05, -3.025503695236012e-05, 1.7251672657169773e-05, 1.0587980734870064e-05, 3.551879238068248e-05, 2.3443581038750715e-05, -4.140712422748369e-06, -3.160783729499388e-05, -8.11922789236907e-06]",5250,1,0.005881786346435547
sphere,10,28,5.3354189144911354e-09,"[1.4069983385221476e-05, -2.3633859255302627e-05, 3.521488025455211e-05, 1.3581917453683179e-06, -2.710067055051283e-06, 2.6324760629572237e-05, 1.4454937683659104e-06, 3.112903352881451e-05, 3.201916349969662e-05, 2.530399583132565e-05]",4830,1,0.005333662033081055
sphere,10,29,8.410993068598647e-09,"[5.8192991913247165e-05, -1.173163182967238e-05, 9.896807692731668e-06, 9.885750833351152e-06, 5.001936012280266e-05, -2.8043156310545297e-05, -2.1663766949028272e-05, 1.15860064034074e-05, -1.2250494021417581e-05, 2.548094884080472e-05]",5430,1,0.006028890609741211
sphere,30,0,7.246607938721547e-06,"[-0.00015121457796133338, 0.0007536165949100347, 8.126819112109774e-05, 5.118793117934184e-05, 0.00040370751350648517, -0.00011664822942331554, -0.000721927795432193, 0.0012130462761036805, -8.388329980057974e-05, -0.0006492811011789695, 0.00011764888498163705, 0.00036135035998432466, -0.0010558393508477344, -9.71769395567882e-05, 0.0003652071203924127, 2.472460790338017e-05, -0.000750937163027662, -0.0004118685245126676, -5.9112650662730996e-05, 0.00014201488859272, 0.0006882376846240527, -0.00027882244258573756, -7.130256702757336e-05, -0.0005102055459935762, 1.688500836500644e-05, 0.0009688326207053517, 0.00018197072098397214, 0.00018636769839178516, 0.00012066463286255287, 0.00022527062754955368]",15050,0,0.018073081970214844
sphere,30,1,5.480750500462207e-06,"[0.00040598794034000293, -0.00018962938873177623, 0.0001742313092231331, -0.00030425985417420004, 0.0010368746568605181, 0.00047799757016140596, -0.00021926622425929757, -0.00018131523078291506, -3.506903177729432e-05, -0.00012663877810672043, 0.00039575867369238076, -0.00032870930274275236, -1.5468090095597468e-05, 0.0007008952462440507, -0.0002152198932103333, 3.0074180089537023e-05, 0.0001984073103537396, -0.00036893735235291546, 0.0004368075315103239, -0.0006120020122396598, -4.411006803610603e-05, -0.0005422715898939424, -0.00036298772922219673, 0.0008394883418416818, -0.00015866320616699618, -1.8884552746584978e-05, 2.1526134221007054e-05, 0.00035760921831038756, 0.000422784302425968, -0.0008636399433360696]",15050,0,0.01812601089477539
sphere,30,2,1.453677601618504e-05,"[0.00041868087166672713, -0.00047532103789814405, -0.00010477742987704663, 0.00011718354365509483, -0.0005699388695876609, -0.00032834766472813543, 0.00025001598166412555, 0.0010573644162631523, 0.00015384931999857404, -0.00031462983860740544, -0.00018673941858689375, 0.00027166344903042765, 0.0006804198676272151, -0.0004972963679522063, 0.0026258162939140567, 0.000220805846749024, 0.0012795683417585245, -0.0005408093611906017, -0.0005070791342708218, 0.0010005382536031036, 0.00014807096074624377, -0.000349297536924589, 8.047303541092751e-05, -0.00010546553314967595, -0.0002688963683200904, -0.0004678969734506062, -0.0001973672727851212, 0.0008747791278890933, 0.00024814209599597145, -0.00032540459198287126]",15050,0,0.018074989318847656
sphere,30,3,1.3994058789444277e-05,"[-8.38293725990303e-05, 0.0010371808060699434, -0.0014733072463921455, -0.00032821872345845343, 0.00019063706954135196, 0.0001902609525085225, 0.00031610815227877835, 0.0008314654380216417, 0.0009939834070293381, -0.0007560625422462636, -6.497600852302867e-05, 3.983912219500255e-05, -0.0002497693809850693, -2.1316350252241338e-05, -2.495586027304493e-05, 0.00046432946954459546, -8.37106895463976e-06, -0.00022373887263676782, -0.0005487626003781857, 0.00024522353513272094, 5.933507227065917e-05, -0.0007937141054574491, 0.00020103682263062928, 0.00012093969959092778, 0.00022645472247075565, 0.0013140455875463326, -0.00047920748137243984, 0.001571646675026457, 0.001216477250978108, -0.0009312044661292274]",15050,0,0.01816701889038086
sphere,30,4,1.3343597242570208e-06,"[-0.0001334746431775876, -0.00021473053545311072, -0.00010575758731969225, 3.582677424400564e-05, 0.0003223186482843348, 4.086823161574968e-05, -0.00022502827265628075, -5.142545246013896e-06, -6.493863272306736e-05, -0.00022039044299282251, -0.0001344807250037568, -0.0002516672832165708, 0.00021544336020200354, -0.00012493956818479957, -9.43505069964985e-05, -0.00010776030779675119, -0.00013798567357260449, 0.00048785574114691666, 3.859554228510787e-06, -0.0004094782876278444, -2.3055595416010213e-05, 9.744010659241366e-05, 6.450740564271852e-05, -0.00011188209525273061, 0.0003657394278231877, -0.00030075199135771687, -0.0002669468137969365, 0.00034200616550819195, -0.00010939082550502761, -9.562837025018742e-05]",15050,0,0.018115997314453125
sphere,30,5,9.041067495197352e-06,"[3.3108910348884826e-05, 0.0001624421636325977, 0.00109912328353836, 0.00014463549959896596, 0.0008026795482222344, 0.00025451681816873826, -0.00043631421243206124, 0.00033705377191340746, -0.0006861417893110339, -0.0003735570211653119, -0.00013969584470810954, -9.638568371347042e-05, 0.0006422480428763955, 0.00021690526757242796, 8.75549647029537e-06, 6.958177832944623e-05, -0.0014890129158692995, 0.0013296894494116908, -0.0005086444928087365, 0.0007216082686118584, -0.00035451053951975737, -8.580623415241588e-05, 0.00046772688126052117, 0.00012361328133988093, 0.00020704753624375567, -0.00031561041781181566, 0.0002662632535488719, 0.0004297560175915351, -0.00011079038372740898, -0.0003547601343874805]",15050,0,0.0180819034576416
sphere,30,6,0.00010413622139574684,"[-0.00147871014971813, 0.0020011835981497265, -0.0004780425090451213, 0.000546435657490394, 0.0003142115938605622, 0.004276014497453805, 0.0008764661962872007, -0.0018681743272822532, 0.001345478047059962, 0.0008977858290088432, -0.0021835476184760387, 0.00018546089874044332, -0.0028651658694339695, 0.0032219943256575627, 0.0008410066382058556, -0.0014115004834052564, 0.002115346987738424, 0.0016313859642286955, 0.0003913303182311819, -0.000724538431979171, -0.0022768800389348044, -0.0029096166793411717, -0.000475417378350631, -0.0012955370818037502, 0.0018474605609258457, -0.00017142516735986518, -0.0013586821795937955, -0.0006212955507451446, 0.0033242098961091524, -0.002444225971319333]",15050,0,0.01817011833190918
sphere,30,7,7.581893393466711e-06,"[-0.00024309849927600525, 0.0001027880421436451, -0.000500964741689191, -0.0003340588547860908, 0.0006680887841220678, 0.00013920064415891094, 0.00010363764531705951, -0.00011524532639760783, -0.0009036911704047349, 0.0004154167428085456, 0.0006882713979466758, -0.0013970013734425776, 0.00027033136545246154, -0.0001445948384545024, -0.000639072731985492, 0.0001537562719709756, 0.00015208526493247883, 0.00021554196631275505, -6.072835514727842e-05, -0.0002755764111373905, -0.000970429967449638, 0.00018758829159989837, 0.0004953019321230171, -0.000500295110323836, -0.0002953356515344286, -4.7076544981022354e-05, -0.0008345231904486855, 0.00038705467088991953, -0.00011027220466678094, 0.00038694521914801416]",15050,0,0.018520116806030273
sphere,30,8,4.006524015014688e-06,"[-0.00031488249014265275, -0.00039935244160456016, -0.00017106431605896862, -0.00012669783715139993, 8.123010091872224e-05, -0.0003804606401429275, 0.0004940158507834402, -4.1697093900439044e-05, -3.300471284237066e-05, -0.0006177449433690812, 0.0010588749250944416, -0.00023059707853492783, 0.0004144684973902943, 0.00018625905037234175, 0.00027636363840284595, -0.0002197490973232058, 0.0001709172989360507, -4.330173145392286e-05, 0.00018467602213290263, -0.000172854122776729, 0.0002466437747842019, -0.00020683205610739298, 0.0003846779359968633, -0.0003827623117513588, -0.00037927396001843374, -0.0004888460780099977, 0.00019289214471257142, -6.979874004293165e-05, 0.00018014352619989053, 0.0006831438975264026]",15050,0,0.019420146942138672
sphere,30,9,5.657550751312432e-06,"[3.193336892849353e-05, -0.00038458876940185885, -0.0007291301019149802, -0.0008982165380102769, -0.00015174047002353947, 0.0006877166800931844, -9.413156555182012e-05, -0.00047685693369179, -2.67350543519995e-05, -6.0640536125782944e-05, 0.00023141350347958848, 0.0009651506133958692, 3.835123395667554e-05, 0.00031464890500851165, 0.00040468412361700817, -0.0008363451485811841, -9.372254730049825e-05, -0.00039904163889634223, -0.0003193151101415603, -0.0002945458498372329, 0.0003025859986280393, -0.0002739921052221436, -0.0001648963628068639, 0.0002321248649674672, 0.0002691479515741201, -0.0003133043833706857, -0.0001458844135191426, -0.00028816832474503815, 0.0006459399772441753, -0.000433804992393286]",15050,0,0.019090890884399414
sphere,30,10,4.5797501189425006e-05,"[0.0010460231674380694, 2.98058658251341e-05, -0.0005092436619907885, -0.001298652295305261, 6.485653895586975e-05, -0.0012990563735687387, -0.0004698557048657871, -0.0006701169445055928, 0.00013132032634088456, 0.0058368766999348, -0.0006882616443689368, -8.773926514684936e-05, 0.0002945267123381894, -0.0007283738045801304, 0.0011491592867156229, -0.00011757240624496141, 0.0003522163660675407, 0.0003935488141655737, 0.0004661674481987113, 0.0005196196757502264, 0.00012598883032748792, -0.0007972622632074463, 5.3368767137251965e-05, 0.00034970566035496755, -0.0006964319842446732, 0.0010471685249693326, -0.0001561081706361865, 8.465871983246538e-05, -0.0008346937297399636, -0.00015125692259117533]",15050,0,0.019041061401367188
sphere,30,11,1.0188646044238662e-05,"[0.0002671486068420289, -0.0001734642259017519, -0.0004525591304899017, -0.0004651773468478528, 0.00043785416374271833, -0.0012127337994380968, 0.00019363603762513176, -0.00030543808418962885, 0.0005291331277922581, 8.869527699269171e-05, -0.0003182556320137265, 0.0005035516975301001, -0.00018331120310088644, 0.0006317458904617216, -0.0009716728133616218, -0.0010368454185716396, -0.0002441362402985391, -0.000978091283700772, 0.0006902244325821766, 0.0006977346199522515, -0.00014903890607433724, -0.00044086151769627427, 0.00045230404993024456, 0.00016143778165503525, -0.0007389427827990793, 0.0003352869690694199, -8.834299735903362e-05, -0.0006968301844584592, -0.0010540707041232912, 0.0002975610115641512]",15050,0,0.020429134368896484
sphere,30,12,1.2490045201791816e-05,"[-0.0003899693572328196, 0.0003626239408586989, -0.00036039376254778563, 0.0019026410772171863, 0.00023192250863930783, -0.00035561607115156213, -0.0004432163005220817, -0.00039757324119021116, -0.00044118703647638767, 0.00040302243248378495, -0.0003720577467858127, -0.001217839486658262, 0.000901685570804565, -0.0006459487005425453, -0.0009353946778248844, -0.000958284643990456, 0.000217084572925664, -0.0006295753521361302, 0.00021797108159401208, -0.00041610505163527933, -0.00031788178028628394, 2.7387744103540883e-05, 0.00010220616507238391, -0.0009397719998741433, 0.0002651808193521255, -7.67139491091061e-05, 0.0002528156827590338, -0.0009892156989400258, -0.00014571619766502465, 0.0003466024698538699]",15050,0,0.02008509635925293
sphere,30,13,3.0062966142944436e-06,"[0.000105031594389416, 0.0006838677928954353, 0.0002195064789709754, 9.034948549648978e-05, -0.0003279918814469591, 0.0004086708927953339, -0.00022004814854936875, -0.00024219210364752206, 0.00024222777765498172, 0.00014112271167084336, -0.0003481379546217589, -0.00022472981219056622, 3.5697620272647935e-05, 0.000709337991540238, 0.0003211896588099675, 0.0005063988760937786, 0.0003085994743815754, 0.00042201173810897945, 1.9621006055765407e-05, 6.0189519223490255e-05, -2.1052028000063613e-05, 6.805745945977475e-05, -0.00010410301409053237, -0.00010196680181394325, -0.0007786329300915872, 2.6512753964720755e-05, 3.590783571823003e-05, -0.00013936744855013404, 9.195914611836114e-05, -0.00018830260308333075]",15050,0,0.01961517333984375
sphere,30,14,1.0615020611353425e-05,"[-0.0008665855670006611, 0.00029677089701393364, 0.00028262860435636914, -0.0008416590495991005, -0.0007892070379155265, 0.00020804113115704048, 0.0007121060447912633, -0.00033179388303889904, -0.0005546646333214769, -0.0005434236242191103, 0.0002442302530475806, -0.0012998082558599664, -0.0001491327618900441, 0.0008671190588403046, -0.0004589131290112006, -0.0004105492272317752, -0.0002712078869515973, 0.00024278236570655204, -0.00027050141453568196, -0.0003362336593333389, 0.0009906956992523797, 0.0007780348290577174, 0.00043579016123670425, -0.0004867379419065128, -0.0005011923010111735, -0.00015479980584116176, -0.0010607060365476837, -0.0006149711453047086, 0.00015375678482458825, 0.00025406373816106863]",15050,0,0.01898479461669922
sphere,30,15,3.249720241349937e-05,"[-0.00046812893140908533, -0.0008337519013522504, 0.00018736069635470125, 0.001479934283040295, 5.448261179954523e-05, 0.0005707411809415739, -0.00012177017715856209, -0.0042990240631801836, -0.00020051406214510216, 0.000845701383601891, 0.0007941062245694177, -0.00036723228298302536, 0.0005564863119063447, -0.00023392472919167638, -0.0004767820601659479, 0.0008870598529015815, -7.22563977379864e-05, -0.0010409615226323577, 0.0005002558233338748, 4.910258860498211e-05, 0.00018003928952339788, 0.0004778819546246833, 0.00030044843161035854, 0.0009428438330277456, -0.0003733301272121758, 0.0008671307369456379, 0.0015636456020679328, -0.0004142329627006803, 0.0012236975926283099, 0.00021489501503707377]",15050,0,0.018856048583984375
sphere,30,16,8.11011655307968e-06,"[-0.0008731274937421272, 0.00016534389265009374, -0.0004030865601166863, -0.00042074716167873156, -0.0003215039200006221, 0.000728186592778101, 0.00017107068663894029, 0.00034020933989814203, -0.00019202748220462708, -0.00044831048956851837, 0.0003024819845403018, 0.000641003587703734, -0.0001768584768224543, 0.0007395462108677318, -9.029712368351381e-05, 0.0007710374484429997, 0.001492435933934245, -0.00019386263988899058, -0.0004834277369083094, -9.468386648012168e-05, -0.00043614132833575645, -0.0008337267479968328, -3.11268588966602e-05, -0.0002391268128007996, 0.0001049582867873658, -0.00014185461126547412, -0.0002694948820819991, -6.99489626064304e-05, 1.8801391981963637e-05, 0.0008491735147238052]",15050,0,0.018826961517333984
sphere,30,17,4.793496367040982e-06,"[0.0005142125560211449, -0.00012197751768923493, -2.064735297635146e-05, 0.00027917186020544777, 7.680166890289649e-05, 0.00012469192528727314, -0.00023835884118225483, -9.648378177431541e-05, 0.00041730202977742606, -1.5354016523528343e-05, 0.0003198671695574754, 0.0003587389389204273, 0.0003534443450920971, -0.0008794427373773267, 0.0005511840269832406, 2.3433460661019148e-05, -0.00040449783574835336, 0.00011755047630058985, -0.0003585515125172651, -7.382268462715065e-05, 0.0002012661906438904, -0.001043625222591702, 0.0005435967026239808, -0.00012220625612079875, 0.00019453609696533743, -0.00045700790027154616, 0.000696106122244705, -3.0483323219839476e-05, -0.00032148002764779526, 0.0003912885987686788]",15050,0,0.0186460018157959
sphere,30,18,3.956449440796859e-06,"[0.0007474564497886981, -4.0224624055716445e-05, 2.657503633136847e-05, -7.81734773044263e-05, 0.0002987609784305259, -7.352091622824718e-06, 7.85185838234264e-05, 0.0003271336534234939, 9.299112010480824e-05, -0.00023946374789586737, 0.0008028032138543058, 0.0007499394466308262, -7.257280018950395e-05, -0.0004964262548200634, 0.0003194965028702914, -0.0003645173425719829, 0.0003447594195119629, -0.0007298964331598586, -3.7112979475893736e-05, -0.00013140841630914597, -0.00019662927069427467, -0.000377031317942322, -0.00013079271585726796, -0.0002118043487542925, 2.4312509303529167e-05, -0.0003627028415204911, -0.0002248770102351297, 0.0004074364247425184, 0.0004066513060418975, -1.262039053052943e-05]",15050,0,0.018806934356689453
