func,n,mean,median,min,max,std,success_rate
ackley,2,6.422727612044691e-05,7.107683273455123e-05,1.5190125691066925e-05,9.99684406868262e-05,2.5008189483269788e-05,1.0
ackley,10,0.000185266996925224,0.0001473544793939,8.601946245834213e-05,0.0005065497147396,0.00010306707754757747,0.16666666666666666
ackley,30,1.3978170525917337,1.30434811282985,0.4494462443041276,2.258402419219401,0.46627741884424245,0.0
rastrigin,2,4.639488702196104e-05,5.157293088409176e-05,1.453594506983791e-07,9.689827476933031e-05,2.9239162313340027e-05,1.0
rastrigin,10,7.545771818378525,6.967447495561139,2.989663193176213,13.929402563759396,2.805406717606811,0.0
rastrigin,30,63.39653418213073,63.87293654826945,29.876574061751,95.69112669092613,14.615237327877555,0.0
rosenbrock,2,1.0391919885657592e-06,5.681138955554775e-08,1.724520026676451e-09,1.5343082683356288e-05,3.0204854692291125e-06,0.3333333333333333
rosenbrock,10,5.364743525052037,5.9849039216892965,0.3713047132351402,8.6527674279907,1.6821366599853993,0.0
rosenbrock,30,121.68813271157366,113.22122095931738,40.66032331456018,200.12229453222187,33.413431571769834,0.0
sphere,2,4.90274911652879e-09,4.440295813065131e-09,1.886014146132676e-10,9.78482297868928e-09,2.9565959859793067e-09,1.0
sphere,10,8.666634666338282e-09,9.269399716095213e-09,5.165051638212404e-09,9.962758622564472e-09,1.2369159003696313e-09,1.0
sphere,30,0.0049878776794830436,0.00467646729517345,0.0020167682155942,0.0128819063874134,0.0023450507595271404,0.0
