func,n,run,best_f,best_x_json,evals,success,time_s
sphere,10,17,6.818798914384987e-09,"[-2.4481932174095643e-05, 3.925333748646672e-05, -1.8087838361924497e-05, 1.677935570187938e-05, -2.0738956474346357e-05, 2.161126715442699e-06, -2.3546885265744453e-05, -1.328851470011933e-05, 2.4291070482595453e-05, -4.8104276473462734e-05]",7470,1,0.017060279846191406
sphere,10,18,9.662859996535791e-09,"[-5.338801931434468e-06, -1.9670410628935192e-05, 3.736569167774857e-05, 3.695741373002087e-05, 2.630093300695686e-05, -1.7809102684164094e-05, 2.797579247878287e-05, -2.375076260988575e-05, -2.8435606244353968e-05, 5.762947322933575e-05]",7740,1,0.017047882080078125
sphere,10,19,9.315182007352925e-09,"[-9.661064283659704e-06, 3.0184326767105352e-05, 8.739464015880813e-07, -1.0332622554295044e-05, 4.820275895220439e-06, -4.1498530965610836e-05, 1.6885501133428247e-05, 6.70411742391135e-05, -3.465687232744677e-05, -2.184317438691591e-05]",7620,1,0.016901016235351562
sphere,10,20,9.822415379517911e-09,"[2.6903663104872664e-06, -6.309334688508729e-05, -4.3731479042631496e-05, 4.130305545572594e-05, -2.2193330072959876e-05, -3.4406174810664597e-05, -1.1032739678467231e-06, -2.584025579228278e-06, -8.269962726779778e-06, 2.152688524293621e-05]",7530,1,0.01659417152404785
sphere,10,21,9.962758622564473e-09,"[-3.132068452818745e-05, 2.2742865186079267e-05, -5.967566171271221e-06, -2.4874072088478324e-05, -6.398562998343764e-05, 6.815655099188283e-06, 5.088242944443312e-05, -2.2404219921450118e-05, 5.63045225534732e-06, -2.3386265846476874e-05]",8070,1,0.017808914184570312
sphere,10,22,9.492581698910827e-09,"[-7.398928051281041e-05, -8.515960160882018e-06, 2.5450391494200233e-05, -2.4052644234179247e-05, -4.494993007725112e-05, 1.1881897134814335e-05, 4.447813162726828e-06, -2.1280653575656736e-05, 9.131477188966912e-06, -1.298283913233025e-06]",7980,1,0.01779913902282715
sphere,10,23,9.450134376883968e-09,"[-1.0644436661965133e-05, 5.8818205759164174e-05, 4.504659905865082e-05, 6.603988840700804e-07, -5.299065203030177e-05, 1.2956556509534936e-05, -4.043272752382577e-06, -2.8913925400966156e-05, -8.60263001174216e-07, -4.316486373638024e-06]",8130,1,0.018218994140625
sphere,10,24,7.579680514279905e-09,"[3.082404403419997e-05, -7.291607949988805e-06, 1.3853122160771558e-05, 1.0761612581366669e-06, -1.0026737962458735e-05, -5.68862721019533e-05, -1.0317821479704691e-05, -1.9935549205786075e-05, -3.331255175032738e-05, 3.7856717585385005e-05]",7140,1,0.01617908477783203
sphere,10,25,9.549407619394638e-09,"[1.0928236484045956e-05, 5.255482832813213e-05, -5.316976615382618e-05, 1.5295471780436053e-05, 2.1788920896249514e-05, -2.74001198598289e-06, -3.1819809783549306e-05, -4.484348257792531e-05, -9.88429363870435e-06, 1.895671829420604e-06]",7770,1,0.017260074615478516
sphere,10,26,7.905430537164044e-09,"[9.275288836072154e-06, -8.305633953821197e-06, 1.333736282121384e-05, 4.409070807700337e-05, 2.664608720193889e-05, 3.8371250810422245e-05, -1.0752190233505897e-05, 9.959927163850936e-06, 2.8717988532189854e-05, 4.905752492583598e-05]",8040,1,0.017749786376953125
sphere,10,27,7.036952201307757e-09,"[-3.6149078212907494e-06, -6.126281944482267e-06, 5.972716081126349e-05, 3.8621940347710575e-05, -4.635973958831681e-06, -2.9855318634860526e-05, -2.2045997678042604e-05, 1.967894378030911e-05, -1.074352264114842e-05, 5.081620950610525e-06]",7470,1,0.016653776168823242
sphere,10,28,9.811711310355278e-09,"[-1.6671362168478384e-05, -3.791321314541114e-06, -5.8500906324169034e-05, 5.122952477905694e-06, 1.8918163217253807e-05, 7.254059883833253e-05, 1.0481559133523502e-05, -1.7141532745389227e-05, 6.65870192926418e-06, 1.6532622902610023e-06]",7020,1,0.015545129776000977
sphere,10,29,8.499842920598241e-09,"[-5.846440352412567e-05, -7.761163363568833e-06, -6.625002302361113e-06, -2.131241432782405e-05, -3.171117500496295e-05, -4.649366084805063e-05, -7.992534316107835e-06, -2.782259050553849e-05, 4.455203230784481e-06, 2.232321710940725e-05]",7800,1,0.017425060272216797
sphere,30,0,0.004405452015335715,"[-0.009213088070751472, 0.010237980977870868, -0.003945518166377162, -0.0007150711667847885, 0.011868861935158941, 0.01717167224430146, -0.0034816834068246644, -0.023327003570602238, -0.0173115464654374, -0.008001989233750837, -0.0016502165923099965, 0.007607445112304076, -0.01316083797607311, -0.010368884419558836, -0.006226556451905123, -0.0014662965252722246, 0.0027582730700655067, 0.006129279828533206, 0.016120209884058573, 0.021941952633369996, -0.008877003891724496, 0.014675493420800191, 0.013018388906022013, 0.01252775337743471, -0.009049023189572934, -0.01842428189668278, -0.0019485669133152768, -0.023257018709162327, -0.009310085617869458, 0.0013878324366561135]",15050,0,0.03477907180786133
sphere,30,1,0.004900307409837254,"[-0.001634198513514231, 0.0019118257984174379, 0.0029604365974962455, 0.007299976278111832, 0.00894329751916763, 0.005021855546049817, -0.010654681311881261, -0.01099003343983624, 0.01897372304595105, 0.004835598328293002, -0.010912217200430755, 0.014281017820192601, 0.001706859290663003, 0.00767635080548874, -0.0029928530467538805, 0.006943481032203765, -0.008496933449562805, 0.00673747519724275, 0.007460757652434627, 0.023254403515020047, 0.006566870756391218, -0.009573642320131115, -0.0034933969558198943, 0.003272877258126946, -0.01764048060990226, -0.0048422223893680155, -0.015382711975832807, -0.02494395197773208, -0.03899116124515349, 0.009028662947859038]",15050,0,0.03501391410827637
